learning_rate,batch_size,epochs,dropout,optimizer_type,run_id,train_losses,val_losses,train_accuracies,val_accuracies,timings,TP,TN,FP,FN,test_acc,test_acc_bc
0.16666666666666666,32,20,0.0,adam,2cd5792c-beee-47a0-8069-ac92809cd26f,0.0334,0.5788,99.2155,87.2845,23.507,106,106,9,10,86.6667,1410471675.1034367
0.16666666666666666,32,20,1.0,adam,cfbbed1e-08f0-485b-b3a6-46bf0e775071,0.0816,0.5259,97.3696,87.931,54.5374,117,117,13,15,83.871,1193819992.9474735
0.16666666666666666,32,20,0.0,sgd,444ea838-849d-4e1f-87da-a529bea9da16,0.467,0.5478,82.6488,79.7414,22.5051,120,120,12,18,86.0215,1357873587.746732
0.9999999999999999,32,20,0.0,sgd,c2b3b978-d51f-4fd2-8ba8-1ab830cc4bb8,0.052,0.5138,98.3387,85.7759,51.093,113,113,15,15,85.1613,1290211011.1706028
0.0,32,20,1.0,sgd,8c20619b-3679-4482-8113-89b36a985dfd,0.88,0.9454,64.8362,61.2069,25.2774,104,104,15,31,76.3441,740029601.1980416
0.9999999999999999,32,20,0.0,adam,ddedc893-2c63-44ee-b36b-b04488df3c3d,1.35,1.3598,27.7803,26.0776,57.5187,0,0,133,0,29.6774,6056891.874888991
0.0,32,20,1.0,adam,005cc33c-5e6a-4e09-8eab-dd0303179cf2,0.0581,0.4912,98.2464,85.7759,24.5719,124,124,5,14,90.5376,1761481771.3776693
0.9999999999999999,32,20,1.0,sgd,ecce7a95-775f-4182-aaae-6530315eacfe,0.1534,0.5488,95.1546,84.4828,51.0066,105,105,13,9,90.5376,1761481771.3776693
0.0,32,20,1.0,adam,dc40160b-cf5c-42d1-b8d8-f76d592cdc6f,0.0458,0.3427,98.8925,88.3621,24.5742,127,127,8,8,89.6774,1678000731.368247
0.9999999999999999,32,20,1.0,adam,37f81cfe-e405-43ed-b2c2-7aa8072f3887,0.0623,1.0227,98.2464,82.1121,50.6197,119,119,8,18,84.7312,1257410894.4848967
0.0,32,20,1.0,adam,367f3729-4125-4662-9c18-b2951162b2e7,0.0763,0.4883,97.5081,86.6379,97.5464,113,113,15,13,86.6667,1410471675.1034367
0.0,32,20,1.0,sgd,111a3728-008e-4379-b5ce-2bef58059249,0.9716,0.9648,60.5907,59.4828,52.0944,103,103,19,26,73.7634,621288582.5506026
0.16666666666666666,32,20,1.0,sgd,d6f476d7-c9e6-4a08-834f-6866c9dac1bb,0.6424,0.6736,75.1731,73.0603,21.2179,115,115,18,21,83.4409,1163008338.1720235
0.16666666666666666,32,20,0.0,adam,91918fc3-dc20-46fb-a9f5-5fe143043fe5,0.03,0.6772,99.1694,88.1466,102.0311,110,110,18,13,88.172,1539568308.5787435
0.9999999999999999,32,20,0.0,adam,e9963c28-417b-424a-98f6-4148bef4d5c3,1.3454,1.3827,28.5648,28.2328,23.6961,130,130,0,137,27.957,4470390.120323773
0.0,32,20,0.0,adam,142e5d77-df62-4f35-96a6-0f3bf3f0de0d,0.024,0.7414,99.5847,87.5,24.4449,105,105,13,10,87.0968,1446434438.05522
0.9999999999999999,32,20,0.0,sgd,cf28f0ca-b092-41db-b389-2a15effc8cb5,0.0811,0.468,97.185,88.3621,11.9479,114,114,13,22,86.6667,1410471675.1034367
0.9999999999999999,32,20,0.0,sgd,a0974e4e-07cc-4b5d-83ce-f5c4a1f63241,0.0775,0.5032,97.5081,87.069,11.531,121,121,16,11,86.8817,1428357949.900644
0.9999999999999999,32,20,0.0,sgd,1d28310c-41b7-4306-8b20-45303d299e66,0.0619,0.639,97.8772,85.5603,22.6523,113,113,25,7,85.3763,1306862963.571235
0.9999999999999999,32,20,0.0,adam,184ce30d-531c-4087-b52f-64342eccb3be,0.0827,0.9065,97.1389,84.0517,22.181,101,101,24,11,82.7957,1117988246.7065432
0.9999999999999999,32,20,0.0,sgd,6bc4a3c0-2e21-44bd-8d35-26521f0e1710,0.0685,0.4835,98.2464,86.8534,23.03,116,116,13,10,87.957,1520570148.0838692
0.9999999999999999,32,20,0.0,adam,8b2d971d-cffe-4080-853b-dd986f8537c5,0.1281,0.5719,95.5238,82.9741,21.1559,106,106,20,16,84.3011,1225284051.9060123
0.9999999999999999,32,20,1.0,sgd,d8aea46c-679e-435e-a491-c2a7a8ea14aa,0.1566,0.4404,94.0471,86.6379,11.5123,106,106,23,13,86.2366,1375230785.4723246
0.16666666666666666,32,20,1.0,adam,edaf169c-deb0-4176-8be6-e65fdf467492,0.0829,0.4549,97.3235,87.931,24.6357,102,102,11,22,84.7312,1257410894.4848967
0.16666666666666666,32,20,1.0,sgd,74b2f735-63e7-4252-8946-7665278d63e3,0.6395,0.6947,76.0037,69.3966,93.0834,100,100,16,11,85.1613,1290211011.1706028
0.9999999999999999,32,20,1.0,sgd,4b38a4e9-f8a7-42f8-9e4f-2064ade87dfd,0.2346,0.5267,91.186,80.3879,11.5552,104,104,15,12,83.4409,1163008338.1720235
0.0,32,20,0.0,adam,5d2a3146-95e3-4606-8011-3e129a2ad00f,0.0299,0.583,99.4462,86.6379,27.2568,109,109,17,13,84.5161,1241260237.4419506
0.16666666666666666,32,20,1.0,adam,1b8e61c6-8625-40e7-9057-79aad3891550,0.064,0.7209,97.5542,84.2672,23.5999,123,123,13,11,89.2473,1637469322.1777918
0.9999999999999999,32,20,1.0,adam,e815595b-7440-4a48-aa50-2733bf6b0b6e,1.3496,1.3569,30.7337,28.4483,20.5309,121,121,0,143,26.0215,3103684.533622026
0.9999999999999999,32,20,1.0,adam,ffa6b58f-ac6b-4062-97c7-e05f95d6a372,0.1595,0.8795,94.5085,79.0948,22.6311,106,106,11,26,79.7849,926018984.7481135
0.16666666666666666,32,20,1.0,sgd,c3676713-e16e-4900-9fcd-eb09718eb1ce,0.5375,0.6601,79.557,77.5862,23.3199,109,109,10,13,87.7419,1501752082.0972266
0.0,32,20,0.0,sgd,a33c4e69-b888-4ffa-94a9-8890a18cb7a6,0.9643,0.9623,61.7443,59.6983,46.5736,107,107,12,42,69.0323,443483403.007274
0.0,32,20,0.0,adam,485e3ed5-9295-4a68-be55-1c699af6aa4b,0.0368,0.6745,99.2155,85.1293,49.6529,120,120,18,11,86.4516,1392757589.3956957
0.9999999999999999,32,20,0.0,sgd,0e5a417a-c123-45a1-9a00-40e5c7c659df,0.0761,0.5972,97.785,85.7759,93.2105,105,105,11,19,88.3871,1558765665.4942124
0.16666666666666666,32,20,1.0,adam,35318294-1795-4262-a487-ef56528331b2,0.0788,0.4941,97.0466,85.5603,96.8922,109,109,12,9,86.4516,1392757589.3956957
